# This data is from https://www.mdpi.com/2075-4434/4/4/78/htm (Galaxies 2016, 4(4), 78; https://doi.org/10.3390/galaxies4040078)
# Data extracted for a transition temperature of 170 MeV
Temperature(MeV) Time(s) geff geff_s
10000000.0 2.32e-15 106.75 106.75
5000000.0 9.29e-15 106.75 106.75
2000000.0 5.81e-14 106.74 106.74
1000000.0 2.32e-13 106.72 106.7
500000.0 9.3e-13 106.61 106.56
200000.0 5.83e-12 105.9 105.61
100000.0 2.36e-11 103.53 102.85
50000.0 9.73e-11 97.4 96.53
20000.0 6.4e-10 88.45 88.14
10000.0 2.58e-09 86.22 86.13
5000.0 1.04e-08 85.6 85.37
2000.0 6.61e-08 82.5 81.8
1000.0 2.75e-07 76.34 75.5
500.0 1.15e-06 69.26 68.55
214.0 6.63e-06 62.49 62.25
200.0 7.61e-06 62.21 61.99
190.0 8.44e-06 62.03 61.83
180.0 9.42e-06 61.72 61.67
170.0 1.06e-05 33.47 30.84
160.0 1.44e-05 29.51 27.49
150.0 1.73e-05 26.31 24.77
140.0 2.51e-05 23.77 22.59
130.0 3.04e-05 21.76 20.86
100.0 5.66e-05 18.0 17.55
50.0 0.000251 14.63 14.32
20.0 0.00178 11.33 11.25
10.0 0.00732 10.76 10.76
5.0 0.0293 10.74 10.74
2.0 0.18 10.71 10.7
1.0 0.74 10.6 10.56
0.5 3.11 10.16 10.03
0.2 23.9 7.66 7.55
0.1 122.0 4.46 4.78
0.05 524.0 3.39 3.93
0.02 3270.0 3.36 3.91
0.01 13100.0 3.36 3.91
